,Unnamed: 0,id,date,time,tweet,timezone,likes,user_id,username,replies,retweets,hashtags,retweet,user_rt,mentions,link,Key word
4,4,965222594961027073,2018-02-18,19:22:54,"மோடி சென்னதனால் தான் மீண்டும் நான் இணைந்தேன் -பன்னீசெல்வம்நீ ஒரு பாஜகவின் அடிமை,சுய புத்தி இல்லாதவன்,ஆண்மையற்றவன்,திருடன்,பதவிவெறிபிடித்தவன்,ஏமாற்றுக்காரன்,அம்மா மரணத்தை வைத்து(வேசிதனம்)அரசியல் செய்தவன்,தூரோகி,அசிங்கத்தின் மறுஉருவம்,கருமயுத்தம் கண்ட களவாணி என இதன் மூலம் அறிவோம்",Sri Lanka Standard Time,17,899689718148866048,mathivanan_dr,2,5,,,None,,https://twitter.com/mathivanan_dr/status/965222594961027073,அசிங்கத்தின்
5,5,964945179227705344,2018-02-18,01:00:33,@PTTVOnlineNews @IPnRd3PC4G3o6Hx 😂😂😂 உங்களையெல்லாம் திருத்தவே முடியாதுடா உங்க வளர்ப்பு அப்படி... உன் அளவுக்கு கீழ்த்தரமா இறங்கி பேசவும் தெரியும் ஆனா அப்படி பேச கூடாதுனும் தெரியும் எனக்கு... நான்தான் தெரியாம அசிங்கத்தின் மேல கல் வீசிட்டேன்...,Sri Lanka Standard Time,0,782410346883579905,nrithamizhan,2,0,,,None,"IPnRd3PC4G3o6Hx,PTTVOnlineNews",https://twitter.com/nrithamizhan/status/964945179227705344,அசிங்கத்தின்
6,6,964724834792976385,2018-02-17,10:24:58,"பன்னீரு பேசுவதை பார்த்தால் தர்மயுத்தம் 2.0"" வரும்போல தெரியுது.நீதிமன்ற தீர்ப்பால் MLA பதவி காலியாகும் போல் தெரியுது.இந்தாலு சொல்லரத கேட்க நாலுபேரு&மீடியா நீயூஸ்வேர இது அசிங்கத்தின் அத்துமீரல்.",Sri Lanka Standard Time,1,335904512,konkirayar,0,1,,,None,,https://twitter.com/konkirayar/status/964724834792976385,அசிங்கத்தின்
7,7,962931027436908544,2018-02-12,11:37:01,சொத்து குவிப்பு வழக்கில் தீர்ப்பு வந்த பொழுது வெடி வெடித்து இனிப்பு கொடுத்து கொண்டாடியது நீங்கள் தானே Mr.பணிவு? உங்கள் பதவி வெறிக்காக பண ஆசைக்காக JJவை குற்றவாளியாக்கி அசிங்க படுத்தினீர்கள்.நீங்களும் EPSம் வீழ்வது உறுதி! நீங்கள் இருவரும் துரோகத்தின் உச்சம் - அசிங்கத்தின் மிச்சம்!  https://twitter.com/OfficeOfOPS/status/962924468883476480 …,Sri Lanka Standard Time,1,956523780335022080,karthik_thinks,0,0,,,None,,https://twitter.com/karthik_thinks/status/962931027436908544,அசிங்கத்தின்
8,8,962930987888910336,2018-02-12,11:36:52,சொத்து குவிப்பு வழக்கில் தீர்ப்பு வந்த பொழுது வெடி வெடித்து இனிப்பு கொடுத்து கொண்டாடியது நீங்கள் தானே Mr.பணிவு? உங்கள் பதவி வெறிக்காக பண ஆசைக்காக JJவை குற்றவாளியாக்கி அசிங்க படுத்தினீர்கள்.நீங்களும் EPSம் வீழ்வது உறுதி! நீங்கள் இருவரும் துரோகத்தின் உச்சம் - அசிங்கத்தின் மிச்சம்!  https://twitter.com/OfficeOfOPS/status/962920927330582528 …,Sri Lanka Standard Time,1,956523780335022080,karthik_thinks,0,0,,,None,,https://twitter.com/karthik_thinks/status/962930987888910336,அசிங்கத்தின்
9,9,962930948709933061,2018-02-12,11:36:43,சொத்து குவிப்பு வழக்கில் தீர்ப்பு வந்த பொழுது வெடி வெடித்து இனிப்பு கொடுத்து கொண்டாடியது நீங்கள் தானே Mr.பணிவு? உங்கள் பதவி வெறிக்காக பண ஆசைக்காக JJவை குற்றவாளியாக்கி அசிங்க படுத்தினீர்கள்.நீங்களும் EPSம் வீழ்வது உறுதி! நீங்கள் இருவரும் துரோகத்தின் உச்சம் - அசிங்கத்தின் மிச்சம்!  https://twitter.com/OfficeOfOPS/status/962925192212242432 …,Sri Lanka Standard Time,1,956523780335022080,karthik_thinks,0,0,,,None,,https://twitter.com/karthik_thinks/status/962930948709933061,அசிங்கத்தின்
10,10,962930901414891520,2018-02-12,11:36:31,@OfficeOfOPS சொத்து குவிப்பு வழக்கில் தீர்ப்பு வந்த பொழுது வெடி வெடித்து இனிப்பு கொடுத்து கொண்டாடியது நீங்கள் தானே Mr.பணிவு? உங்கள் பதவி வெறிக்காக பண ஆசைக்காக JJவை குற்றவாளியாக்கி அசிங்க படுத்தினீர்கள்.நீங்களும் EPSம் வீழ்வது உறுதி! நீங்கள் இருவரும் துரோகத்தின் உச்சம் - அசிங்கத்தின் மிச்சம்!,Sri Lanka Standard Time,2,956523780335022080,karthik_thinks,0,0,,,None,OfficeOfOPS,https://twitter.com/karthik_thinks/status/962930901414891520,அசிங்கத்தின்
11,11,962930859404701696,2018-02-12,11:36:21,@OfficeOfOPS சொத்து குவிப்பு வழக்கில் தீர்ப்பு வந்த பொழுது வெடி வெடித்து இனிப்பு கொடுத்து கொண்டாடியது நீங்கள் தானே Mr.பணிவு? உங்கள் பதவி வெறிக்காக பண ஆசைக்காக JJவை குற்றவாளியாக்கி அசிங்க படுத்தினீர்கள்.நீங்களும் EPSம் வீழ்வது உறுதி! நீங்கள் இருவரும் துரோகத்தின் உச்சம் - அசிங்கத்தின் மிச்சம்!,Sri Lanka Standard Time,0,956523780335022080,karthik_thinks,0,0,,,None,OfficeOfOPS,https://twitter.com/karthik_thinks/status/962930859404701696,அசிங்கத்தின்
12,12,962930820133527552,2018-02-12,11:36:12,@OfficeOfOPS சொத்து குவிப்பு வழக்கில் தீர்ப்பு வந்த பொழுது வெடி வெடித்து இனிப்பு கொடுத்து கொண்டாடியது நீங்கள் தானே Mr.பணிவு? உங்கள் பதவி வெறிக்காக பண ஆசைக்காக JJவை குற்றவாளியாக்கி அசிங்க படுத்தினீர்கள்.நீங்களும் EPSம் வீழ்வது உறுதி! நீங்கள் இருவரும் துரோகத்தின் உச்சம் - அசிங்கத்தின் மிச்சம்!,Sri Lanka Standard Time,7,956523780335022080,karthik_thinks,0,1,,,None,OfficeOfOPS,https://twitter.com/karthik_thinks/status/962930820133527552,அசிங்கத்தின்
13,13,962530997567766528,2018-02-11,09:07:27,@NanTamilan1 உன் தலைவனின் யோக்கியதை ஒத்துக்கொண்டாயா சிறப்பு. கற்பழிப்பு என்றால் ஆட்சியில் நீங்கள் தானே இருந்தீர்கள் ஏன் தளைபடுத்தவில்லை. அசிங்கத்தின் மறு உருவம் திமுக வாதத்திற்கு வந்து மேலும் அசிங்கப்படாதீர்.,Sri Lanka Standard Time,0,813219476141281280,Tamizhmukilan,0,0,,,None,NanTamilan1,https://twitter.com/Tamizhmukilan/status/962530997567766528,அசிங்கத்தின்
14,14,962163902040559616,2018-02-10,08:48:45,"@manion @vikramathithiya ஆந்திராவுல இருந்து தெருக்கூத்துக்கட்டி பிழைக்க வந்த தெக்ணாமூர்த்தி சின்ன மேளம் -கருணாநிதி புள்ள செயல் தலைவர் ,செய்தி வாசிப்பாளர் பாத்திமாவ கெடுத்தது யோயகநிலையா,திருட்டு திராவிடம். தனக்கு பிறந்த மகளையே அழகிரி கல்யாணம் பண்ணது என்ன லெவல். அசிங்கத்தின் மறு உருவம் திராவிடம்",Sri Lanka Standard Time,1,813219476141281280,Tamizhmukilan,1,0,,,None,"vikramathithiya,manion",https://twitter.com/Tamizhmukilan/status/962163902040559616,அசிங்கத்தின்
0,0,968014656932519936,2018-02-26,12:17:33,ஷியா அளாவி சன்னி என்னும் மூன்று மத பிரிவுகள் இந்த அசிங்கத்துக்கு காரணம்...கேட்டால் இவர்கள் யாரும் குரானை பின்பற்றவில்லை என்று கூறுகிறீர்கள்..வெட்கமாக இல்லை?,Sri Lanka Standard Time,0,2270566339,Deepti1993z,1,0,,,None,,https://twitter.com/Deepti1993z/status/968014656932519936,அசிங்கத்துக்கு
1,1,967850881231208448,2018-02-26,01:26:46,@Rabbu_Allu விந்து லீக்கானதும் அஞ்சு செகண்ட் கூட தாக்குபிடிக்க முடியாது நம்மால அந்த நாத்தத்த..அந்த அசிங்கத்துக்கு இப்புடி அலையுறானுங்க,Sri Lanka Standard Time,2,793715850947813377,SeBaAOffl,1,0,,,None,Rabbu_Allu,https://twitter.com/SeBaAOffl/status/967850881231208448,அசிங்கத்துக்கு
2,2,967842669723508736,2018-02-26,00:54:08,@PRABHAMYL இந்த அசிங்கத்துக்கு ஆதாரம் வேற வேணுமா??,Sri Lanka Standard Time,0,872966370366861312,anbalagan147,1,0,,,None,PRABHAMYL,https://twitter.com/anbalagan147/status/967842669723508736,அசிங்கத்துக்கு
3,3,967677007340294144,2018-02-25,13:55:51,இந்த அசிங்கத்துக்கு அர நாள் அரசாங்க லீவே விடலாம் போல... 😂😂😂#Modi 😁😁 pic.twitter.com/ydijWitl0x,Sri Lanka Standard Time,0,705307601655844864,Akitamilachi,0,0,#Modi,,None,,https://twitter.com/Akitamilachi/status/967677007340294144,அசிங்கத்துக்கு
4,4,967249525600432130,2018-02-24,09:37:12,@Giri47436512 @Tamil_Zhinii இந்த அசிங்கத்துக்கு  தமிழினி தூக்குமாட்டி செத்திடலாம்  pic.twitter.com/qbnzb7JQvU,Sri Lanka Standard Time,2,2679222626,vrc24561,0,0,,,None,"Tamil_Zhinii,Giri47436512",https://twitter.com/vrc24561/status/967249525600432130,அசிங்கத்துக்கு
5,5,967004533074227200,2018-02-23,17:23:41,இந்த அசிங்கத்துக்கு அர நாள் அரசாங்க லீவே விடலாம் போல...  pic.twitter.com/xj9FunnAVg,Sri Lanka Standard Time,443,3060013819,Tamil_Zhinii,30,179,,,None,,https://twitter.com/Tamil_Zhinii/status/967004533074227200,அசிங்கத்துக்கு
6,6,965611368878518272,2018-02-19,21:07:45,சிங்கத்தை எதிர்க்க அசிங்கத்துக்கு ஆதரவளித்தால் அசிங்கபட்டுத்தானே ஆகனும் பாஸ்!  https://twitter.com/BoseSelva8/status/965574111178182657 …,Sri Lanka Standard Time,3,1623288631,rameshplannet1,0,0,,,None,,https://twitter.com/rameshplannet1/status/965611368878518272,அசிங்கத்துக்கு
0,0,968471064425545728,2018-02-27,18:31:09,"தொடர்கிறது பாஜக வின் பச்சைதுரோகங்கள்..இதற்கு பின்னும் தமிழனாய் பிறந்த சில ஜென்மங்கள் எப்படி பாஜக வில் தொடர்கிறார்கள்?ஆதரித்து பேசவும் ,முட்டுகொடுக்கவும் வெட்கமாயில்லையாடா?சூடு சொரணை உள்ள தமிழர்கள் பாஜக வை ஆதரிக்கமாட்டார்கள்.அசிங்கத்தை உட்கொள்வோரால் தான் ஆதரிக்க முடியும்.  pic.twitter.com/DoArXvcKQ1",Sri Lanka Standard Time,5,704345120,gks9559,1,3,,,None,,https://twitter.com/gks9559/status/968471064425545728,அசிங்கத்தை
1,1,968151944878465024,2018-02-26,21:23:05,@KasthuriShankar சும்மா இருந்த யாரும் சுரண்டமாட்டார்கள் கருத்து என்ற பெயரில் வார்த்தைகளை விடுவதன் மூலம் தேவை இல்லாத அசிங்கத்தை சந்திக்க நேரும் இது எப்படி தெரியுமா இருக்கிறது அவன் என்னை அடித்து விட்டான் கிள்ளி விட்டான் என்பது போல் இருக்கிறது,Sri Lanka Standard Time,0,838106864869068802,Sarav_Aust,0,0,,,None,KasthuriShankar,https://twitter.com/Sarav_Aust/status/968151944878465024,அசிங்கத்தை
2,2,967806374456410112,2018-02-25,22:29:55,ட்ராபிக்கில் நிற்கும் பொது காதல் ஜோடி செய்யும் அசிங்கத்தை பாருங்க  https://fb.me/43VUv1sPJ ,Sri Lanka Standard Time,0,1859960695,IndianEn2,0,0,,,None,,https://twitter.com/IndianEn2/status/967806374456410112,அசிங்கத்தை
3,3,967619157373210624,2018-02-25,10:05:59,நேற்றைய சிலை அசிங்கத்தை மறக்கடித்தது இன்று ஒரு அழகு சிலை..!,Sri Lanka Standard Time,0,3276048031,imgnestshiva3,0,0,,,None,,https://twitter.com/imgnestshiva3/status/967619157373210624,அசிங்கத்தை
4,4,967076028454600704,2018-02-23,22:07:47,அண்ணனுக்கும் தம்பிக்கும் இடையே பகையூட்டி இருவருக்கும் துப்பாக்கி விற்கும் அசிங்கத்தை முதலில் நிறுத்துங்கள் ட்ரம்ப். https://www.facebook.com/permalink.php?story_fbid=1854648901243278&id=100000945577360&pnref=story …,Sri Lanka Standard Time,0,964909381488791554,eraaedwin,0,0,,,None,,https://twitter.com/eraaedwin/status/967076028454600704,அசிங்கத்தை
5,5,967056941867560960,2018-02-23,20:51:56,இந்த அழகான பெண்கள் செய்யும் அசிங்கத்தை பாருங்க ! அதிர்ச்சி வீடியோ...  https://fb.me/WfgApJ13 ,Sri Lanka Standard Time,0,4798957814,dinanewspaper1,0,0,,,None,,https://twitter.com/dinanewspaper1/status/967056941867560960,அசிங்கத்தை
6,6,966990746761900032,2018-02-23,16:28:54,அசிங்கமே!அசிங்கத்தை பத்தி !!பேசுகிறதே!!! ☺️☺️  https://twitter.com/idumbaikarthi/status/966928373455896581 …,Sri Lanka Standard Time,15,845255997358792704,lalitha_jr,3,3,,,None,,https://twitter.com/lalitha_jr/status/966990746761900032,அசிங்கத்தை
7,7,966539108318199808,2018-02-22,10:34:15,@sunnewstamil மன்னிக்கவும் அசிங்கத்தை நாங்கள் தொடுவதில்லை,Sri Lanka Standard Time,1,391067602,jeevaflora,0,0,,,None,sunnewstamil,https://twitter.com/jeevaflora/status/966539108318199808,அசிங்கத்தை
8,8,966264224178520064,2018-02-21,16:21:58,கல்லூரி வளாகத்துக்குள் இந்த காதல் ஜோடி செய்த அசிங்கத்தை பாருங்க...  https://fb.me/7wwLtz0BX ,Sri Lanka Standard Time,0,4798957814,dinanewspaper1,0,0,,,None,,https://twitter.com/dinanewspaper1/status/966264224178520064,அசிங்கத்தை
9,9,965876974689296386,2018-02-20,14:43:10,தீதும் நன்றும் பிறர் தர வாரா...: இந்த அசிங்கத்தை வேறெப்படிச் சொல்வது...?  http://yaathoramani.blogspot.com/2018/02/blog-post_20.html?spref=tw …,Sri Lanka Standard Time,0,232405196,svramani08,0,0,,,None,,https://twitter.com/svramani08/status/965876974689296386,அசிங்கத்தை
10,10,965840584547082240,2018-02-20,12:18:34,ஜெயலலிதா அடங்காப்பிடாரித்தனம் செய்து அசிங்கத்தை செய்வார். கமல் அமைதியான முறையில் அசிங்கத்தை செய்வார். பார்வை..ஜெயாவின் ஊழலுக்காக கொடுத்த நீதிமன்ற தீர்ப்பை எதிர்த்து உண்ணாவிரதம் இருந்த யோக்கிய சிகாமணி.  https://twitter.com/varavanaiyaan/status/965777242822393856 …,Sri Lanka Standard Time,0,865808092780298240,Arivazhi,0,0,,,None,,https://twitter.com/Arivazhi/status/965840584547082240,அசிங்கத்தை
11,11,965786154493657088,2018-02-20,08:42:17,"சாதிமதச் சேறோடு,சங்கத்தமிழன் பேரோடு,பிணைந்திருந்த அசிங்கத்தை வேரோடு,பிடுங்கி எரிந்தவர் எங்கள் ஈரோடு…! https://m.facebook.com/story.php?story_fbid=1515470145217367&id=100002631888856 …",Sri Lanka Standard Time,1,1309037448,SriniPsv,0,0,,,None,,https://twitter.com/SriniPsv/status/965786154493657088,அசிங்கத்தை
12,12,964827049880838150,2018-02-17,17:11:08,ட்ராபிக்கில் நிற்கும் பொது காதல் ஜோடி செய்யும் அசிங்கத்தை பாருங்க  https://fb.me/DFkLtF99 ,Sri Lanka Standard Time,0,1859960695,IndianEn2,0,0,,,None,,https://twitter.com/IndianEn2/status/964827049880838150,அசிங்கத்தை
13,13,964097164191309830,2018-02-15,16:50:50,"@ThanthiTV மொத்தத்தில் ""முக"" அசிங்கத்தை கைவிட தயாரில்லை.",Sri Lanka Standard Time,0,2962301731,nalliah1948,0,0,,,None,ThanthiTV,https://twitter.com/nalliah1948/status/964097164191309830,அசிங்கத்தை
14,14,963988991820251136,2018-02-15,09:41:00,@Swamy39 @ThanthiTV ஊழலை ஒழித்தே தீருவோம் என பாஜக காட்டுமிராண்டிகள் முழக்கம். ஊழல் குற்றவாளியின் தோழிஇன்னொரு ஊழல் குற்றவாளிசிறைப்பறவை சசிகலா ஊழல் அதிமுகவுக்கு தலைமை ஏற்க வேண்டும்  .. சூத்திரன் சாமி .இதைவிட அசிங்கத்தை எங்கே பார்க்க வேண்டும்  ?பார்ப்பனனுக இயல்புங்க இது.,Sri Lanka Standard Time,2,865808092780298240,Arivazhi,0,0,,,None,"ThanthiTV,Swamy39",https://twitter.com/Arivazhi/status/963988991820251136,அசிங்கத்தை
15,15,963735170258935809,2018-02-14,16:52:24,"அடுத்தவர் உழைப்பை கொள்ளையடிப்பவனை சாமியென்று அழைக்கிறோம், நம் அசிங்கத்தை சுத்தப்படுத்துபவனை, தீண்டாதவன் என ஒதுக்கி வைக்கிறோம்..... 😂😂",Sri Lanka Standard Time,1,921557404566917120,suganya_jasmine,1,2,,,None,,https://twitter.com/suganya_jasmine/status/963735170258935809,அசிங்கத்தை
16,16,963645750113652736,2018-02-14,10:57:05,மனைவி செய்த அசிங்கத்தை ஆதாரத்தோடு வெளியிட்ட தாடி,Sri Lanka Standard Time,0,820203271444832256,kollywoodcentr3,0,0,,,None,,https://twitter.com/kollywoodcentr3/status/963645750113652736,அசிங்கத்தை
17,17,963645601287196672,2018-02-14,10:56:29,I added a video to a @YouTube playlist  http://youtu.be/c-CWS0e7LQo?a  மனைவி செய்த அசிங்கத்தை,Sri Lanka Standard Time,0,820203271444832256,kollywoodcentr3,0,0,,,None,YouTube,https://twitter.com/kollywoodcentr3/status/963645601287196672,அசிங்கத்தை
18,18,963243229930913792,2018-02-13,08:17:36,@YouTube @DrTamilisaiBJP ஆன்மீகம் என்றால் அசிங்கத்தை ஆராதிக்கும் அவலம் தானோ  ?அல்பமே அகன்று போ..பீடையே பிதற்றாமல் போ..ஊனமே உளறாமல் போ..,Sri Lanka Standard Time,1,865808092780298240,Arivazhi,0,0,,,None,"DrTamilisaiBJP,YouTube",https://twitter.com/Arivazhi/status/963243229930913792,அசிங்கத்தை
19,19,962975730375233536,2018-02-12,14:34:40,பாஜக எப்படிப்பட்ட கேவலமான கும்பல் என்பதற்கு..உலகமகா ஊழல் நாயகிக்கு சட்டசபையில் உருவப்படம்..இதைவிட அசிங்கத்தை எங்கே தேடிப் போக  ?  https://twitter.com/PTTVOnlineNews/status/962916802077409280 …,Sri Lanka Standard Time,0,865808092780298240,Arivazhi,0,0,,,None,,https://twitter.com/Arivazhi/status/962975730375233536,அசிங்கத்தை
20,20,962879202818080768,2018-02-12,08:11:06,"சமீபத்தில் சூரியா நடித்த கருத்துள்ள நல்ல படங்கள் மாற்றான், சிங்கம் 2,3, அஞ்சான், மாஸ் தானே.. உங்க முதுகுல இருக்கும் அசிங்கத்தை முதல துடைங்க ப்ரோ.. சும்மா வயிறு எரிச்சலில் ஒப்பாரி வைக்க வேண்டாம் @Michaelrj_10 https://twitter.com/Michaelrj_10/status/959818316515745793 …",Sri Lanka Standard Time,11,174170993,ravindra_offl,0,8,,,None,Michaelrj_10,https://twitter.com/ravindra_offl/status/962879202818080768,அசிங்கத்தை
21,21,962859651363586048,2018-02-12,06:53:24,அபுதாபியில் ஒரு ஆலயம் திறப்பதாக பெருமைப்படும்வேளையில்  ..தமிழகத்தில் ஒரு உலகமகா அசிங்கத்தை..முச்சந்தியில் நிறுத்தி செருப்பால் அடிக்க வேண்டிய ஈனப்பிறவியை கொலுவைத்து..அடிமைகளின் அட்டகாசம்..,Sri Lanka Standard Time,2,865808092780298240,Arivazhi,0,1,,,None,,https://twitter.com/Arivazhi/status/962859651363586048,அசிங்கத்தை
22,22,962722084504838144,2018-02-11,21:46:46,@Samanthaprabhu2 @ThanthiTV தடியில் அசிங்கத்தை தடவி அடிக்கவும்.,Sri Lanka Standard Time,1,799287862621372416,i_pushparaj,0,0,,,None,"ThanthiTV,Samanthaprabhu2",https://twitter.com/i_pushparaj/status/962722084504838144,அசிங்கத்தை
23,23,962018903466549249,2018-02-09,23:12:34,@Agizo_Jay @_Kongu_ ஏலேய் @PrasannaTamilan பரதேசி கேட்டியா ஒங்க தறுதலை தலைவனின் அசிங்கத்தை,Sri Lanka Standard Time,1,2367180396,smanikandan3681,0,0,,,None,"_Kongu_,Agizo_Jay,PrasannaTamilan",https://twitter.com/smanikandan3681/status/962018903466549249,அசிங்கத்தை
24,24,961898881360384000,2018-02-09,15:15:39,எச்சை @HRajaBJP வின் தம்பி ஊழல் வழக்கில் சிக்குகிறார்.அசிங்கத்தை வீட்டில் வைத்துக் கொண்டு ஊழல் ஒழிப்பு பற்றி உத்தமர் வேடம் போடுகிறார் எச்சை ராஜா.  https://twitter.com/thatsTamil/status/961885164287664129 …,Sri Lanka Standard Time,3,893851004751368192,BabuRajw,0,0,,,None,HRajaBJP,https://twitter.com/BabuRajw/status/961898881360384000,அசிங்கத்தை
25,25,961478000662343681,2018-02-08,11:23:13,@Suba_Vee @ArjunanDurai இனி எனது பாணி விவாதத்தை நிறுத்தி விட்டேன். உங்கள் மத அவலங்களை உலகம் முழுவதும் பேசும் அவலங்களை வெளியிட்டு உங்கள் அசிங்கத்தை உங்களுக்கு காட்டுவதுதான் நேர்வழி. பார்க்கலாம். நல்லதுக்கு காலம் இல்லை.,Sri Lanka Standard Time,0,2962301731,nalliah1948,0,0,,,None,"ArjunanDurai,Suba_Vee",https://twitter.com/nalliah1948/status/961478000662343681,அசிங்கத்தை
26,26,961459660527030272,2018-02-08,10:10:20,ட்ராபிக்கில் நிற்கும் பொது காதல் ஜோடி செய்யும் அசிங்கத்தை பாருங்க  https://youtu.be/KkU1go1FSCU  via @YouTube,Sri Lanka Standard Time,0,778463549664350208,viralmonkeyin,0,0,,,None,YouTube,https://twitter.com/viralmonkeyin/status/961459660527030272,அசிங்கத்தை
